warehouse_location,category_lvl1,category_lvl2,category_lvl3,current_stock,available_stock
WH-8-E13,Unknown,Unknown,Unknown,253,243
WH-2-E74,Sporting Goods,Athletics,Dancing,47,43
WH-9-E80,Business & Industrial,Piercing & Tattooing,Tattooing Supplies,444,443
WH-4-B16,Health & Beauty,Personal Care,Hair Care,245,239
WH-2-E61,Apparel & Accessories,Clothing Accessories,Hair Accessories,8,6
WH-9-C50,Apparel & Accessories,Clothing Accessories,Hair Accessories,189,163
WH-6-D63,Hardware,Power & Electrical Supplies,Solar Panels,571,537
WH-4-A22,Electronics,Electronics Accessories,Handheld Device Accessories,446,407
WH-1-B41,Animals & Pet Supplies,Pet Supplies,Pet Grooming Supplies,607,544
WH-2-A94,Apparel & Accessories,Jewelry,Watch Accessories,73,73
WH-9-E71,Unknown,,,195,189
WH-2-E16,Apparel & Accessories,Clothing Accessories,Hair Accessories,70,69
WH-1-C68,Electronics,Electronics Accessories,Power,595,574
WH-3-C71,Unknown,,,75,72
WH-3-C89,Sporting Goods,Athletics,Dancing,367,360
WH-8-E40,Electronics,Electronics Accessories,Handheld Device Accessories,299,296
WH-6-B62,Sporting Goods,Athletics,American Football,123,121
WH-9-D98,Electronics,Audio,Audio Components,305,285
WH-6-E72,Apparel & Accessories,Clothing Accessories,Hair Accessories,387,380
WH-4-E18,Unknown,,,168,164
WH-3-C55,Toys & Games,Toys,Remote Control Toys,380,372
WH-1-A22,Toys & Games,Toys,Remote Control Toys,438,387
WH-8-A20,Unknown,Unknown,Unknown,326,325
WH-3-E63,Apparel & Accessories,Shoes,Unknown,282,282
WH-1-D46,Unknown,Unknown,Unknown,104,100
WH-3-E16,Unknown,,,386,386
WH-5-E83,Unknown,,,33,32
WH-8-E28,Apparel & Accessories,Shoes,Unknown,224,224
WH-3-D98,Home & Garden,Kitchen & Dining,Cookware & Bakeware,50,49
WH-3-A56,Apparel & Accessories,Clothing Accessories,Hair Accessories,194,190
WH-8-B81,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,396,394
WH-9-C91,Home & Garden,Kitchen & Dining,Kitchen Appliances,304,281
WH-6-C35,Animals & Pet Supplies,Pet Supplies,Pet Training Aids,130,127
WH-8-A22,Health & Beauty,Health Care,Fitness & Nutrition,149,148
WH-1-B80,Home & Garden,Pool & Spa,Pool & Spa Accessories,286,281
WH-6-B62,Business & Industrial,Signage,Neon Signs,174,162
WH-5-E58,Office Supplies,Office Instruments,Pencil Sharpeners,155,154
WH-6-D72,Unknown,Unknown,Unknown,88,85
WH-9-E20,Home & Garden,Household Appliances,Vacuums,208,207
WH-1-B89,Unknown,Unknown,Unknown,427,422
WH-3-C11,Vehicles & Parts,Vehicle Parts & Accessories,Motor Vehicle Electronics,452,451
WH-4-C11,Unknown,Unknown,Unknown,69,49
WH-2-D64,Baby & Toddler,Nursing & Feeding,Baby Bottle Nipples & Liners,475,450
WH-4-A56,Electronics,Communications,Telephony,76,73
WH-7-A15,Home & Garden,Linens & Bedding,Bed Sheets,290,287
WH-9-A76,Home & Garden,Linens & Bedding,Bed Sheets,409,405
WH-7-E63,Apparel & Accessories,Clothing Accessories,Hair Accessories,201,200
WH-2-D88,Hardware,Tools,Flashlights & Headlamps,447,438
WH-9-A81,Electronics,Communications,Telephony,495,494
WH-9-A82,Hardware,Tools,Handheld Power Drills,375,373
WH-8-A71,Hardware,Tools,Handheld Power Drills,177,168
WH-1-B81,Hardware,Power & Electrical Supplies,Solar Panels,596,579
WH-6-C52,Home & Garden,Kitchen & Dining,Tableware,453,452
WH-6-D66,Sporting Goods,Outdoor Recreation,Hunting & Shooting,334,332
WH-3-C77,Apparel & Accessories,Clothing Accessories,Hair Accessories,155,147
WH-9-C17,Electronics,Electronics Accessories,Computer Accessories,464,450
WH-7-C95,Electronics,Electronics Accessories,Computer Accessories,480,444
WH-2-D41,Electronics,Electronics Accessories,Adapters,343,327
WH-8-C68,Home & Garden,Kitchen & Dining,Tableware,326,308
WH-8-B29,Apparel & Accessories,Clothing,Underwear & Socks,446,432
WH-5-A78,Apparel & Accessories,Clothing,Underwear & Socks,127,121
WH-2-C47,Apparel & Accessories,Clothing,Underwear & Socks,65,57
WH-6-B26,Apparel & Accessories,Clothing,Underwear & Socks,249,227
WH-1-A83,Apparel & Accessories,Clothing,Underwear & Socks,73,71
WH-5-A52,Apparel & Accessories,Clothing,Underwear & Socks,306,303
WH-6-E30,Apparel & Accessories,Clothing,Underwear & Socks,80,78
WH-2-C26,Apparel & Accessories,Clothing,Underwear & Socks,316,316
WH-4-E81,Apparel & Accessories,Clothing,Underwear & Socks,475,474
WH-3-E51,Apparel & Accessories,Clothing,Underwear & Socks,465,465
WH-4-D95,Apparel & Accessories,Clothing,Underwear & Socks,84,83
WH-9-A31,Apparel & Accessories,Clothing,Underwear & Socks,474,473
WH-6-B37,Apparel & Accessories,Clothing,Underwear & Socks,88,85
WH-4-A80,Apparel & Accessories,Clothing,Underwear & Socks,284,281
WH-3-D28,Apparel & Accessories,Clothing,Underwear & Socks,458,448
WH-9-A62,Apparel & Accessories,Clothing,Underwear & Socks,127,125
WH-3-B13,Apparel & Accessories,Clothing,Underwear & Socks,338,337
WH-3-A96,Apparel & Accessories,Clothing,Underwear & Socks,341,337
WH-5-D46,Apparel & Accessories,Clothing,Underwear & Socks,137,133
WH-2-B26,Apparel & Accessories,Clothing,Underwear & Socks,91,90
WH-6-D91,Apparel & Accessories,Clothing,Underwear & Socks,164,161
WH-2-C85,Apparel & Accessories,Clothing,Underwear & Socks,7,6
WH-2-D72,Apparel & Accessories,Clothing,Underwear & Socks,205,205
WH-6-A76,Apparel & Accessories,Clothing,Underwear & Socks,480,480
WH-1-D62,Apparel & Accessories,Clothing,Underwear & Socks,117,116
WH-2-D64,Apparel & Accessories,Clothing,Underwear & Socks,271,267
WH-5-A38,Apparel & Accessories,Clothing,Underwear & Socks,62,59
WH-9-A46,Home & Garden,Decor,Rugs,489,488
WH-7-A25,Unknown,Unknown,Unknown,135,134
WH-8-E48,Apparel & Accessories,Clothing Accessories,Hats,104,100
WH-5-D84,Mature,Weapons,Gun Care & Accessories,652,617
WH-4-C87,Unknown,Unknown,Unknown,124,121
WH-4-D23,Apparel & Accessories,Clothing Accessories,Hair Accessories,489,489
WH-9-D23,Mature,Weapons,Mace & Pepper Spray,271,247
WH-3-C69,Apparel & Accessories,Clothing Accessories,Hair Accessories,525,512
WH-7-E51,Apparel & Accessories,Clothing Accessories,Hair Accessories,500,490
WH-7-A89,Home & Garden,Linens & Bedding,Duvet Covers,31,29
WH-7-B95,Apparel & Accessories,Clothing,Unknown,443,439
WH-8-A98,Hardware,Hardware Accessories,Tool Storage & Organization,320,320
WH-6-E12,Unknown,Unknown,Unknown,218,214
WH-6-A64,Home & Garden,Lawn & Garden,Gardening,5,4
WH-6-D44,Electronics,Audio,Audio Components,417,413
WH-9-A50,Unknown,Unknown,Unknown,85,81
WH-4-D50,Apparel & Accessories,Shoes,Unknown,481,480
WH-3-C58,Apparel & Accessories,Shoes,Unknown,356,355
WH-8-D80,Cameras & Optics,Optics,Scopes,425,422
WH-4-A30,Home & Garden,Plants,Flowers,346,344
WH-4-C26,"Food, Beverages & Tobacco",Food Items,"Grains, Rice & Cereal",44,42
WH-1-B47,Home & Garden,Linens & Bedding,Bed Sheets,152,151
WH-2-C71,Animals & Pet Supplies,Pet Supplies,"Pet Bowls, Feeders & Waterers",223,222
WH-4-C89,Toys & Games,Toys,Remote Control Toys,575,514
WH-6-C16,Cameras & Optics,Camera & Optic Accessories,Optic Accessories,332,327
WH-6-C16,Unknown,Unknown,Unknown,125,125
WH-9-C18,Unknown,,,58,58
WH-3-B83,Electronics,Electronics Accessories,Handheld Device Accessories,288,283
WH-2-A60,Unknown,Unknown,Unknown,275,270
WH-8-E85,Sporting Goods,Outdoor Recreation,Hunting & Shooting,59,57
WH-4-D47,Unknown,,,216,215
WH-9-E75,Sporting Goods,Outdoor Recreation,Hunting & Shooting,358,344
WH-4-B61,Health & Beauty,Health Care,Fitness & Nutrition,239,232
WH-6-A47,Home & Garden,Kitchen & Dining,Tableware,290,280
WH-8-B79,Home & Garden,Kitchen & Dining,Tableware,135,77
WH-3-C93,Unknown,,,173,165
WH-6-A55,Sporting Goods,Outdoor Recreation,Camping & Hiking,445,441
WH-2-A85,Unknown,Unknown,Unknown,43,40
WH-3-A87,Home & Garden,Kitchen & Dining,Cookware & Bakeware,99,96
WH-7-A90,Home & Garden,Kitchen & Dining,Kitchen Tools & Utensils,287,260
WH-1-C30,Home & Garden,Kitchen & Dining,Kitchen Tools & Utensils,477,455
WH-3-E93,Hardware,Tools,Axes,492,480
WH-6-D38,Unknown,Unknown,Unknown,325,321
WH-7-E55,Electronics,Electronics Accessories,Electronics Films & Shields,270,265
WH-6-E60,Home & Garden,Kitchen & Dining,Kitchen Appliances,425,414
WH-9-D25,Health & Beauty,Health Care,Fitness & Nutrition,419,395
WH-1-D40,Unknown,Unknown,Unknown,23,21
WH-6-C39,Health & Beauty,Personal Care,Cosmetics,533,504
WH-3-C39,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,32,29
WH-9-A66,Hardware,Tool Accessories,Tool Sockets,469,469
WH-6-D52,Unknown,Unknown,Unknown,290,285
WH-1-C74,Apparel & Accessories,Shoes,Unknown,317,317
WH-2-A87,Apparel & Accessories,Shoes,Unknown,335,333
WH-5-A46,Hardware,Power & Electrical Supplies,Solar Panels,432,382
WH-2-E49,Electronics,Electronics Accessories,Handheld Device Accessories,284,276
WH-7-D13,Home & Garden,Kitchen & Dining,Kitchen Appliances,551,500
WH-1-C67,Electronics,Electronics Accessories,Power,150,144
WH-4-C70,Hardware,Tool Accessories,Cutter Accessories,353,349
WH-7-C40,Electronics,Audio,Audio Components,145,137
WH-5-C13,Home & Garden,Linens & Bedding,Bed Sheets,103,89
WH-4-E95,Home & Garden,Linens & Bedding,Bed Sheets,151,138
WH-7-B62,Home & Garden,Linens & Bedding,Bed Sheets,382,378
WH-3-B33,Home & Garden,Linens & Bedding,Bed Sheets,231,207
WH-6-D13,Home & Garden,Linens & Bedding,Bed Sheets,400,395
WH-3-D22,Home & Garden,Linens & Bedding,Bed Sheets,149,135
WH-2-D43,Home & Garden,Linens & Bedding,Bed Sheets,329,302
WH-5-E60,Home & Garden,Linens & Bedding,Bed Sheets,339,335
WH-5-B44,Home & Garden,Linens & Bedding,Bed Sheets,262,257
WH-8-B95,Apparel & Accessories,Clothing Accessories,Hair Accessories,253,248
WH-8-B24,Apparel & Accessories,Shoes,Unknown,242,241
WH-8-D58,Apparel & Accessories,Shoes,Unknown,241,240
WH-8-C40,Apparel & Accessories,Shoes,Unknown,1,1
WH-6-A68,Apparel & Accessories,Shoes,Unknown,42,40
WH-7-C59,Apparel & Accessories,Shoes,Unknown,406,405
WH-2-A27,Apparel & Accessories,Shoes,Unknown,365,364
WH-5-D98,Apparel & Accessories,Shoes,Unknown,310,309
WH-6-C64,Unknown,,,357,355
WH-5-C74,Apparel & Accessories,Shoes,Unknown,409,409
WH-5-A47,Apparel & Accessories,Shoes,Unknown,351,350
WH-6-D87,Apparel & Accessories,Shoes,Unknown,259,258
WH-4-D55,Apparel & Accessories,Shoes,Unknown,295,294
WH-9-D54,Apparel & Accessories,Shoes,Unknown,466,466
WH-5-C86,Unknown,,,182,182
WH-9-B57,Unknown,,,377,376
WH-4-C43,Apparel & Accessories,Shoes,Unknown,109,107
WH-9-C75,Apparel & Accessories,Shoes,Unknown,175,174
WH-9-B31,Apparel & Accessories,Shoes,Unknown,480,480
WH-4-D14,Apparel & Accessories,Shoes,Unknown,301,300
WH-2-A16,Apparel & Accessories,Shoes,Unknown,345,343
WH-6-A21,Electronics,Electronics Accessories,Handheld Device Accessories,71,56
WH-3-A72,Business & Industrial,Retail,Money Handling,261,253
WH-2-D11,Home & Garden,Kitchen & Dining,Kitchen Appliances,472,459
WH-6-B51,Apparel & Accessories,Clothing Accessories,Hair Accessories,473,462
WH-2-A83,Electronics,Electronics Accessories,Power,331,326
WH-5-B22,Unknown,Unknown,Unknown,6,6
WH-3-E44,Apparel & Accessories,Costumes & Accessories,Costume Accessory Sets,389,387
WH-8-B97,Unknown,,,129,129
WH-3-D74,Home & Garden,Kitchen & Dining,Knife Sharpeners,128,105
WH-6-A65,Unknown,,,393,389
WH-4-D85,Sporting Goods,Athletics,Basketball,268,251
WH-5-C31,Sporting Goods,Athletics,American Footballs,51,44
WH-3-E22,Unknown,Unknown,Unknown,137,123
WH-2-C52,Apparel & Accessories,Clothing,Underwear & Socks,395,388
WH-8-D61,Apparel & Accessories,Clothing,Underwear & Socks,408,408
WH-1-C59,Apparel & Accessories,Clothing,Underwear & Socks,363,360
WH-9-B25,Apparel & Accessories,Clothing,Underwear & Socks,334,326
WH-7-B43,Apparel & Accessories,Clothing,Underwear & Socks,88,83
WH-1-E79,Apparel & Accessories,Clothing,Underwear & Socks,280,255
WH-7-B18,Apparel & Accessories,Clothing,Underwear & Socks,155,146
WH-5-C44,Apparel & Accessories,Clothing,Underwear & Socks,327,321
WH-2-B37,Apparel & Accessories,Clothing,Underwear & Socks,629,606
WH-2-D67,Apparel & Accessories,Clothing,Underwear & Socks,463,462
WH-5-E41,Apparel & Accessories,Clothing,Underwear & Socks,98,94
WH-3-A33,Apparel & Accessories,Clothing,Underwear & Socks,142,139
WH-3-B13,Apparel & Accessories,Clothing,Underwear & Socks,90,89
WH-6-C88,Apparel & Accessories,Clothing,Underwear & Socks,534,515
WH-5-A42,Apparel & Accessories,Clothing,Underwear & Socks,251,248
WH-6-B12,Apparel & Accessories,Clothing,Underwear & Socks,416,414
WH-1-A30,Apparel & Accessories,Clothing,Underwear & Socks,163,161
WH-1-A31,Apparel & Accessories,Clothing,Underwear & Socks,382,382
WH-5-C12,Apparel & Accessories,Clothing,Underwear & Socks,432,426
WH-9-A42,Apparel & Accessories,Clothing,Underwear & Socks,481,480
WH-8-A10,Apparel & Accessories,Clothing,Underwear & Socks,450,444
WH-7-A58,Unknown,,,51,48
WH-7-B92,Mature,Weapons,Mace & Pepper Spray,496,494
WH-1-E33,Vehicles & Parts,Vehicle Parts & Accessories,"Vehicle Maintenance, Care & Decor",530,505
WH-4-A31,Home & Garden,Decor,Rugs,435,434
WH-5-D73,Apparel & Accessories,Clothing,Underwear & Socks,363,361
WH-8-E35,Apparel & Accessories,Clothing,Underwear & Socks,226,225
WH-6-B10,Apparel & Accessories,Clothing,Underwear & Socks,472,464
WH-3-B43,Apparel & Accessories,Clothing,Underwear & Socks,371,369
WH-4-B71,Apparel & Accessories,Clothing,Underwear & Socks,62,61
WH-1-E69,Apparel & Accessories,Clothing,Underwear & Socks,430,430
WH-1-B31,Apparel & Accessories,Clothing,Underwear & Socks,376,373
WH-8-B77,Apparel & Accessories,Clothing,Underwear & Socks,105,104
WH-1-C95,Apparel & Accessories,Clothing,Underwear & Socks,246,242
WH-5-E82,Apparel & Accessories,Clothing,Underwear & Socks,50,49
WH-6-E92,Unknown,Unknown,Unknown,351,322
WH-5-B74,Office Supplies,Filing & Organization,Desk Organizers,350,344
WH-1-C10,Electronics,Electronics Accessories,Power,289,287
WH-2-D63,Sporting Goods,Athletics,Basketball,203,202
WH-2-B30,Mature,Weapons,Gun Care & Accessories,244,242
WH-3-E68,Health & Beauty,Personal Care,Hair Care,169,164
WH-4-D69,Unknown,Unknown,Unknown,341,279
WH-6-E66,Vehicles & Parts,Vehicles,Motor Vehicles,101,97
WH-1-D54,Arts & Entertainment,Hobbies & Creative Arts,Art & Craft Kits,157,157
WH-4-E56,Sporting Goods,Outdoor Recreation,Cycling,360,342
WH-5-B30,Toys & Games,Toys,Remote Control Cars & Trucks,134,112
WH-9-C37,Toys & Games,Toys,Play Vehicles,403,354
WH-6-C53,Toys & Games,Toys,"Dolls, Playsets & Toy Figures",340,328
WH-6-C52,Electronics,Electronics Accessories,Antenna Accessories,505,494
WH-3-A11,Toys & Games,Toys,Remote Control Tanks,247,239
WH-5-B54,Toys & Games,Toys,"Dolls, Playsets & Toy Figures",342,340
WH-8-A84,Home & Garden,Decor,Seasonal & Holiday Decorations,487,485
WH-6-D42,Animals & Pet Supplies,Live Animals,Unknown,209,194
WH-1-A95,Animals & Pet Supplies,Pet Supplies,Bird Supplies,331,319
WH-8-D78,Vehicles & Parts,Vehicles,Motor Vehicles,94,82
WH-1-E77,Toys & Games,Toys,Play Vehicles,322,285
WH-3-E23,Cameras & Optics,Cameras,Digital Cameras,511,502
WH-8-C97,Home & Garden,Lawn & Garden,Gardening,270,266
WH-2-C68,Home & Garden,Decor,Seasonal & Holiday Decorations,220,219
WH-3-E21,Toys & Games,Toys,"Dolls, Playsets & Toy Figures",387,386
WH-1-E87,Home & Garden,Decor,Flags & Windsocks,205,197
WH-9-A29,Toys & Games,Toys,Play Vehicles,456,446
WH-4-B69,Toys & Games,Toys,Play Vehicles,144,144
WH-4-C90,Toys & Games,Toys,Play Vehicles,254,245
WH-3-E37,Arts & Entertainment,Hobbies & Creative Arts,Model Making,589,569
WH-5-B50,Toys & Games,Toys,Play Vehicles,207,207
WH-3-B19,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,500,488
WH-2-C16,Toys & Games,Toys,Play Vehicles,14,13
WH-6-C84,Vehicles & Parts,Vehicle Parts & Accessories,"Vehicle Maintenance, Care & Decor",321,309
WH-7-A84,Toys & Games,Toys,"Dolls, Playsets & Toy Figures",303,296
WH-3-B12,Toys & Games,Toys,Building Toys,320,318
WH-6-B55,Vehicles & Parts,Vehicles,Watercraft,207,189
WH-8-C21,Toys & Games,Toys,Building Toys,208,203
WH-7-D55,Toys & Games,Toys,Robotic Toys,263,247
WH-4-D54,Apparel & Accessories,Clothing,Pants,220,220
WH-6-D20,Unknown,Unknown,Unknown,112,108
WH-1-D70,Apparel & Accessories,Shoes,Unknown,177,176
WH-4-A45,Mature,Weapons,Mace & Pepper Spray,104,104
WH-7-A70,Unknown,,,411,410
WH-5-B38,Health & Beauty,Health Care,Fitness & Nutrition,576,549
WH-4-A29,Vehicles & Parts,Vehicle Parts & Accessories,"Vehicle Maintenance, Care & Decor",508,488
WH-7-D16,Health & Beauty,Jewelry Cleaning & Care,Jewelry Holders,19,15
WH-2-E68,Apparel & Accessories,Shoes,Unknown,310,310
WH-5-C94,Health & Beauty,Health Care,Fitness & Nutrition,623,591
WH-3-D98,Electronics,Audio,Audio Players & Recorders,102,99
WH-3-B65,Electronics,Communications,Telephony,398,392
WH-4-E50,Unknown,Unknown,Unknown,420,412
WH-6-D85,Electronics,Audio,Audio Components,437,426
WH-6-D72,Electronics,Electronics Accessories,Computer Components,166,163
WH-5-B66,Apparel & Accessories,Jewelry,Bracelets,313,309
WH-4-B76,Unknown,Unknown,Unknown,176,161
WH-3-D48,Mature,Weapons,Mace & Pepper Spray,594,573
WH-1-D51,Electronics,Communications,Telephony,718,715
WH-7-D26,Health & Beauty,Health Care,Fitness & Nutrition,210,186
WH-5-B30,Unknown,,,373,373
WH-5-E52,Electronics,Electronics Accessories,Power,447,432
WH-1-E64,Hardware,Hardware Accessories,Tool Storage & Organization,374,374
WH-4-D98,Toys & Games,Toys,Robotic Toys,314,313
WH-6-B58,Animals & Pet Supplies,Pet Supplies,Pet Carriers & Crates,292,291
WH-8-C32,Unknown,Unknown,Unknown,179,178
WH-5-B80,Unknown,,,238,238
WH-1-E51,Mature,Erotic,Sex Toys,310,309
WH-9-D92,Unknown,Unknown,Unknown,175,173
WH-4-E13,Electronics,Audio,Audio Components,285,281
WH-2-D39,Electronics,Video,Video Accessories,378,370
WH-2-D66,Unknown,Unknown,Unknown,567,553
WH-3-E13,Unknown,Unknown,Unknown,385,375
WH-5-D28,"Food, Beverages & Tobacco",Food Items,Dips & Spreads,247,209
WH-1-C14,Unknown,Unknown,Unknown,331,329
WH-2-B67,Unknown,Unknown,Unknown,310,309
WH-5-D38,Unknown,Unknown,Unknown,396,389
WH-7-A36,Unknown,Unknown,Unknown,408,394
WH-5-D47,Unknown,Unknown,Unknown,55,53
WH-2-D27,Unknown,Unknown,Unknown,133,128
WH-4-E24,"Food, Beverages & Tobacco",Food Items,Dips & Spreads,379,363
WH-5-C22,Electronics,Electronics Accessories,Adapters,167,159
WH-1-A24,Apparel & Accessories,Clothing Accessories,Hair Accessories,426,419
WH-4-C94,Toys & Games,Toys,Pretend Play,87,73
WH-8-C46,Apparel & Accessories,Clothing,Pants,118,118
WH-2-B84,Unknown,Unknown,Unknown,316,306
WH-9-C70,Unknown,,,161,150
WH-5-C97,Unknown,,,19,17
WH-3-C10,Unknown,,,127,123
WH-8-A89,Hardware,Tool Accessories,Axe Accessories,112,111
WH-4-C38,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,270,265
WH-2-B81,Unknown,Unknown,Unknown,118,117
WH-2-B47,Hardware,Building Consumables,Painting Consumables,101,93
WH-6-A45,Electronics,Electronics Accessories,Computer Racks & Mounts,494,487
WH-3-C27,Electronics,Electronics Accessories,Power,176,174
WH-3-B59,Apparel & Accessories,Shoes,Unknown,193,192
WH-1-C33,Sporting Goods,Outdoor Recreation,Camping & Hiking,98,94
WH-9-A92,Unknown,Unknown,Unknown,436,434
WH-6-B55,Unknown,Unknown,Unknown,93,92
WH-2-A74,Office Supplies,Office Instruments,Writing & Drawing Instruments,449,436
WH-9-A98,Unknown,Unknown,Unknown,141,140
WH-1-C72,Unknown,,,401,400
WH-9-B71,Apparel & Accessories,Shoes,Unknown,408,407
WH-3-B67,Apparel & Accessories,Shoes,Unknown,310,309
WH-7-C79,Apparel & Accessories,Shoes,Unknown,105,105
WH-8-C40,Apparel & Accessories,Shoes,Unknown,101,100
WH-1-B10,Apparel & Accessories,Shoes,Unknown,218,218
WH-8-A65,Home & Garden,Kitchen & Dining,Kitchen Appliances,376,369
WH-4-D53,Unknown,Unknown,Unknown,517,510
WH-1-E18,Mature,Weapons,Mace & Pepper Spray,149,124
WH-2-B39,Unknown,Unknown,Unknown,170,167
WH-7-C31,Apparel & Accessories,Shoes,Unknown,357,357
WH-9-C34,Apparel & Accessories,Shoes,Unknown,488,487
WH-2-B84,Hardware,Hardware Accessories,Tool Storage & Organization,380,373
WH-2-B34,Apparel & Accessories,Clothing,Underwear & Socks,26,26
WH-7-E80,Home & Garden,Decor,Rugs,210,209
WH-6-E74,Mature,Erotic,Sex Toys,481,480
WH-9-E20,Baby & Toddler,Baby Toys & Activity Equipment,Play Mats & Gyms,474,467
WH-2-B65,Apparel & Accessories,Clothing Accessories,Hair Accessories,272,267
WH-7-A79,Health & Beauty,Personal Care,Shaving & Grooming,234,229
WH-2-E39,Mature,Weapons,Mace & Pepper Spray,372,372
WH-1-D43,Apparel & Accessories,Shoes,Unknown,19,18
WH-9-E43,Hardware,Hardware Accessories,Tool Storage & Organization,172,172
WH-1-C35,Hardware,Hardware Accessories,Tool Storage & Organization,139,137
WH-2-D14,Cameras & Optics,Optics,Binoculars,457,453
WH-6-D78,Unknown,Unknown,Unknown,10,8
WH-2-E78,"Food, Beverages & Tobacco",Food Items,Fruits & Vegetables,389,382
WH-2-A62,Electronics,Electronics Accessories,Handheld Device Accessories,540,531
WH-2-C80,Electronics,Electronics Accessories,Antennas,447,441
WH-2-C63,Vehicles & Parts,Vehicles,Aircraft,353,351
WH-5-B59,Home & Garden,Kitchen & Dining,Kitchen Appliances,75,70
WH-7-D14,Electronics,Electronics Accessories,Computer Racks & Mounts,429,428
WH-7-B46,Home & Garden,Decor,Rugs,136,135
WH-9-E49,Apparel & Accessories,Shoes,Unknown,426,425
WH-4-B79,Health & Beauty,Personal Care,Cosmetics,312,304
WH-5-B17,Apparel & Accessories,Clothing,Underwear & Socks,344,340
WH-6-D95,Apparel & Accessories,Clothing,Underwear & Socks,40,38
WH-9-E67,Furniture,Shelving,Unknown,94,92
WH-6-E42,Unknown,,,271,271
WH-2-B97,Electronics,Electronics Accessories,Cables,278,274
WH-2-E78,Vehicles & Parts,Vehicle Parts & Accessories,"Vehicle Maintenance, Care & Decor",496,494
WH-7-A46,Unknown,Unknown,Unknown,285,279
WH-2-C46,Vehicles & Parts,Vehicles,Motor Vehicles,409,399
WH-3-E33,Toys & Games,Toys,Pretend Play,420,419
WH-8-C62,Unknown,Unknown,Unknown,420,417
WH-9-D53,Apparel & Accessories,Clothing Accessories,Hair Accessories,89,82
WH-6-E50,Cameras & Optics,Optics,Scopes,292,291
WH-3-E46,Unknown,Unknown,Unknown,298,298
WH-1-C82,Unknown,Unknown,Unknown,220,220
WH-7-E34,Cameras & Optics,Optics,Binoculars,473,462
WH-8-A82,Unknown,Unknown,Unknown,400,399
