container_id,container_type,origin_port,origin_country,destination_port,destination_country,transit_days,shipment_status,quantity,category_lvl1,total_cargo_value_usd
CONT947439,20FT Standard,Guangzhou,China,Charleston,USA,19,Delivered,985,Hardware,22497.40
CONT200352,20FT Standard,Guangzhou,China,Charleston,USA,19,Delivered,670,Unknown,105719.30
CONT574165,20FT Standard,Guangzhou,China,Charleston,USA,19,Delivered,325,Electronics,23208.25
CONT993151,20FT Standard,Guangzhou,China,Charleston,USA,19,Delivered,141,Unknown,10046.25
CONT956909,40FT Standard,Dalian,China,Oakland,USA,27,In Transit,422,Apparel & Accessories,7743.70
CONT788288,40FT Standard,Dalian,China,Oakland,USA,27,In Transit,246,Toys & Games,43842.12
CONT526950,40FT Standard,Dalian,China,Oakland,USA,27,In Transit,621,Apparel & Accessories,6688.17
CONT721538,45FT High Cube,Tianjin,China,Los Angeles,USA,24,Customs Clearance,953,Apparel & Accessories,8386.4
CONT364902,45FT High Cube,Tianjin,China,Los Angeles,USA,24,Customs Clearance,776,Toys & Games,42245.44
CONT738038,45FT High Cube,Tianjin,China,Los Angeles,USA,24,Customs Clearance,771,Unknown,80076.06
CONT869936,45FT High Cube,Tianjin,China,Los Angeles,USA,24,Customs Clearance,443,Apparel & Accessories,68217.57
CONT317846,45FT High Cube,Tianjin,China,Long Beach,USA,28,In Transit,591,Apparel & Accessories,62711.01
CONT135503,45FT High Cube,Tianjin,China,Long Beach,USA,28,In Transit,133,Arts & Entertainment,17768.8
CONT641442,45FT High Cube,Tianjin,China,Long Beach,USA,28,In Transit,711,Apparel & Accessories,69955.29
CONT293237,45FT High Cube,Tianjin,China,Long Beach,USA,28,In Transit,224,Unknown,24787.84
CONT519114,45FT High Cube,Tianjin,China,Long Beach,USA,28,In Transit,103,Unknown,13937.96
CONT269094,45FT High Cube,Tianjin,China,Long Beach,USA,28,In Transit,280,Unknown,37464.0
CONT754173,40FT High Cube,Shenzhen,China,Long Beach,USA,19,Arrived at Port,214,Electronics,16268.28
CONT819333,40FT High Cube,Shenzhen,China,Long Beach,USA,19,Arrived at Port,121,Arts & Entertainment,3569.5
CONT890070,40FT High Cube,Shenzhen,China,Long Beach,USA,19,Arrived at Port,187,Unknown,17013.26
CONT649750,40FT High Cube,Shenzhen,China,Long Beach,USA,19,Arrived at Port,583,Vehicles & Parts,21786.71
CONT303046,40FT High Cube,Shenzhen,China,Long Beach,USA,19,Arrived at Port,480,Unknown,82780.80
CONT823078,45FT High Cube,Shanghai,China,Savannah,USA,21,Delivered,269,Apparel & Accessories,10332.29
CONT425179,45FT High Cube,Shanghai,China,Savannah,USA,21,Delivered,222,Unknown,26462.4
CONT548922,45FT High Cube,Shanghai,China,Savannah,USA,21,Delivered,539,Apparel & Accessories,15528.59
CONT208597,45FT High Cube,Shanghai,China,Savannah,USA,21,Delivered,501,Home & Garden,56597.97
CONT447137,45FT High Cube,Shanghai,China,Savannah,USA,21,Delivered,764,Apparel & Accessories,124837.6
CONT898572,45FT High Cube,Shanghai,China,Savannah,USA,21,Delivered,391,Unknown,12468.99
CONT340785,45FT High Cube,Shanghai,China,Savannah,USA,21,Delivered,311,Unknown,18230.82
CONT164059,20FT Standard,Qingdao,China,Seattle,USA,26,In Transit,482,Apparel & Accessories,69735.76
CONT389071,20FT Standard,Qingdao,China,Seattle,USA,26,In Transit,205,Unknown,26980.05
CONT239258,20FT Standard,Qingdao,China,Seattle,USA,26,In Transit,159,Unknown,1434.18
CONT522209,20FT Standard,Qingdao,China,Seattle,USA,26,In Transit,305,Home & Garden,13807.35
CONT291282,20FT Standard,Qingdao,China,Seattle,USA,26,In Transit,160,Apparel & Accessories,11620.80
CONT783918,20FT Standard,Qingdao,China,Seattle,USA,26,In Transit,915,Electronics,95498.55
CONT163053,45FT High Cube,Ningbo,China,Oakland,USA,16,Customs Clearance,665,Home & Garden,39866.75
CONT784568,45FT High Cube,Ningbo,China,Oakland,USA,16,Customs Clearance,62,Hardware,8812.68
CONT680150,45FT High Cube,Ningbo,China,Oakland,USA,16,Customs Clearance,795,Unknown,151693.95
CONT374712,20FT Reefer,Tianjin,China,Oakland,USA,28,In Transit,89,Home & Garden,1649.17
CONT183387,20FT Reefer,Tianjin,China,Oakland,USA,28,In Transit,59,Hardware,7176.17
CONT850542,20FT Reefer,Tianjin,China,Oakland,USA,28,In Transit,848,Home & Garden,53059.36
CONT668775,45FT High Cube,Ningbo,China,Seattle,USA,23,Delivered,397,Apparel & Accessories,34217.43
CONT917042,45FT High Cube,Ningbo,China,Seattle,USA,23,Delivered,399,Home & Garden,65874.9
CONT493083,45FT High Cube,Ningbo,China,Seattle,USA,23,Delivered,383,Sporting Goods,62467.3
CONT409235,45FT High Cube,Ningbo,China,Seattle,USA,23,Delivered,429,Apparel & Accessories,48095.19
CONT429382,45FT High Cube,Ningbo,China,Seattle,USA,23,Delivered,396,Luggage & Bags,21015.72
CONT314132,45FT High Cube,Ningbo,China,Seattle,USA,23,Delivered,522,Unknown,59340.96
CONT546617,40FT High Cube,Guangzhou,China,Los Angeles,USA,28,In Transit,941,Unknown,53072.4
CONT715020,40FT High Cube,Guangzhou,China,Los Angeles,USA,28,In Transit,157,Vehicles & Parts,27850.23
CONT473286,40FT High Cube,Guangzhou,China,Los Angeles,USA,28,In Transit,197,Apparel & Accessories,17785.16
CONT743000,40FT High Cube,Guangzhou,China,Los Angeles,USA,28,In Transit,342,Toys & Games,20349.0
CONT580150,40FT High Cube,Guangzhou,China,Los Angeles,USA,28,In Transit,862,Unknown,94699.32
CONT928684,45FT High Cube,Shenzhen,China,Los Angeles,USA,25,Customs Clearance,77,Unknown,7208.74
CONT912660,45FT High Cube,Shenzhen,China,Los Angeles,USA,25,Customs Clearance,993,Unknown,163209.48
CONT112638,45FT High Cube,Shenzhen,China,Los Angeles,USA,25,Customs Clearance,121,Hardware,10311.62
CONT633965,45FT High Cube,Shenzhen,China,Los Angeles,USA,25,Customs Clearance,887,Unknown,15966
CONT973611,45FT High Cube,Shenzhen,China,Los Angeles,USA,25,Customs Clearance,940,Home & Garden,138471.40
CONT837507,45FT High Cube,Shenzhen,China,Los Angeles,USA,25,Customs Clearance,248,Health & Beauty,45966.80
CONT173439,45FT High Cube,Shenzhen,China,Los Angeles,USA,25,Customs Clearance,488,Arts & Entertainment,14396.0
CONT134871,45FT High Cube,Shenzhen,China,Los Angeles,USA,25,Customs Clearance,409,Cameras & Optics,57317.26
CONT243615,45FT High Cube,Guangzhou,China,Los Angeles,USA,15,In Transit,460,Apparel & Accessories,86779.00
CONT820094,45FT High Cube,Guangzhou,China,Los Angeles,USA,15,In Transit,486,Apparel & Accessories,68783.58
CONT691973,45FT High Cube,Guangzhou,China,Los Angeles,USA,15,In Transit,839,Apparel & Accessories,55952.91
CONT438925,45FT High Cube,Guangzhou,China,Los Angeles,USA,15,In Transit,996,Apparel & Accessories,44790.12
CONT123483,40FT Standard,Ningbo,China,Oakland,USA,17,In Transit,683,Unknown,11330.97
CONT918057,40FT Standard,Ningbo,China,Oakland,USA,17,In Transit,396,Apparel & Accessories,62512.56
CONT177133,40FT Standard,Ningbo,China,Oakland,USA,17,In Transit,811,Unknown,53501.67
CONT545477,40FT Standard,Ningbo,China,Oakland,USA,17,In Transit,981,Home & Garden,174853.44
CONT263380,20FT Reefer,Xiamen,China,Charleston,USA,26,In Transit,491,Apparel & Accessories,35808.63
CONT441591,20FT Reefer,Xiamen,China,Charleston,USA,26,In Transit,869,Unknown,115802.94
CONT622230,20FT Reefer,Xiamen,China,Charleston,USA,26,In Transit,700,Home & Garden,34930.0
CONT977875,20FT Reefer,Xiamen,China,Charleston,USA,26,In Transit,967,Electronics,10105.15
CONT701333,20FT Reefer,Xiamen,China,Charleston,USA,26,In Transit,440,Apparel & Accessories,87023.20
CONT826637,20FT Reefer,Xiamen,China,Charleston,USA,26,In Transit,627,Apparel & Accessories,66687.72
CONT367680,20FT Reefer,Xiamen,China,Charleston,USA,26,In Transit,388,Home & Garden,57521.00
CONT133424,20FT Reefer,Xiamen,China,Charleston,USA,26,In Transit,995,Home & Garden,70744.5
CONT523224,20FT Reefer,Qingdao,China,Long Beach,USA,16,Delivered,109,Apparel & Accessories,17094.47
CONT354788,20FT Reefer,Qingdao,China,Long Beach,USA,16,Delivered,514,Unknown,66511.6
CONT108385,20FT Reefer,Qingdao,China,Long Beach,USA,16,Delivered,492,Apparel & Accessories,14961.72
CONT936798,20FT Reefer,Qingdao,China,Long Beach,USA,16,Delivered,442,Apparel & Accessories,30148.82
CONT936756,20FT Reefer,Qingdao,China,Long Beach,USA,16,Delivered,218,Electronics,20230.4
CONT737926,45FT High Cube,Shanghai,China,Savannah,USA,17,Customs Clearance,105,Unknown,2819.25
CONT808777,45FT High Cube,Shanghai,China,Savannah,USA,17,Customs Clearance,785,Unknown,110465.20
CONT843918,45FT High Cube,Shanghai,China,Savannah,USA,17,Customs Clearance,126,Apparel & Accessories,19149.48
CONT152210,45FT High Cube,Shanghai,China,Savannah,USA,17,Customs Clearance,634,Home & Garden,34990.46
CONT163978,45FT High Cube,Shanghai,China,Savannah,USA,17,Customs Clearance,761,Apparel & Accessories,145442.32
CONT412019,45FT High Cube,Shanghai,China,Savannah,USA,17,Customs Clearance,729,Furniture,77208.39
CONT897204,45FT High Cube,Shanghai,China,Savannah,USA,17,Customs Clearance,649,Health & Beauty,78639.33
CONT859126,45FT High Cube,Shanghai,China,Savannah,USA,17,Customs Clearance,385,Home & Garden,42496.30
CONT933862,40FT High Cube,Shenzhen,China,Oakland,USA,17,In Transit,385,Home & Garden,10060.05
CONT877738,40FT High Cube,Shenzhen,China,Oakland,USA,17,In Transit,321,Apparel & Accessories,3158.64
CONT177371,40FT High Cube,Shenzhen,China,Oakland,USA,17,In Transit,51,Home & Garden,644.13
CONT321765,40FT High Cube,Shenzhen,China,Oakland,USA,17,In Transit,428,Apparel & Accessories,72062.36
CONT724900,40FT High Cube,Shenzhen,China,Oakland,USA,17,In Transit,193,Electronics,7926.51
CONT820288,40FT Standard,Shenzhen,China,Charleston,USA,18,Arrived at Port,711,Electronics,23164.38
CONT187720,40FT Standard,Shenzhen,China,Charleston,USA,18,Arrived at Port,257,Apparel & Accessories,16286.09
CONT258300,40FT Standard,Shenzhen,China,Charleston,USA,18,Arrived at Port,741,Home & Garden,135343.65
CONT857226,40FT Standard,Shenzhen,China,Charleston,USA,18,Arrived at Port,407,Home & Garden,49495.27
CONT520776,40FT Standard,Shenzhen,China,Charleston,USA,18,Arrived at Port,611,Apparel & Accessories,22851.4
CONT818748,40FT Standard,Shenzhen,China,Charleston,USA,18,Arrived at Port,403,Apparel & Accessories,65556.01
CONT927259,45FT High Cube,Qingdao,China,Savannah,USA,28,Customs Clearance,719,Home & Garden,94210.57
CONT436877,45FT High Cube,Qingdao,China,Savannah,USA,28,Customs Clearance,277,Apparel & Accessories,6332.22
CONT448532,45FT High Cube,Qingdao,China,Savannah,USA,28,Customs Clearance,952,Health & Beauty,11090.80
CONT703048,45FT High Cube,Qingdao,China,Savannah,USA,28,Customs Clearance,96,Business & Industrial,14275.2
CONT665839,45FT High Cube,Qingdao,China,Savannah,USA,28,Customs Clearance,921,Electronics,39833.25
CONT194192,45FT High Cube,Qingdao,China,Savannah,USA,28,Customs Clearance,449,Health & Beauty,57660.58
CONT690375,45FT High Cube,Ningbo,China,Savannah,USA,26,In Transit,156,Electronics,2778.36
CONT254951,45FT High Cube,Ningbo,China,Savannah,USA,26,In Transit,602,Unknown,94285.24
CONT690171,45FT High Cube,Ningbo,China,Savannah,USA,26,In Transit,72,Apparel & Accessories,10687.68
CONT617097,45FT High Cube,Ningbo,China,Savannah,USA,26,In Transit,741,Unknown,131623.83
CONT977241,45FT High Cube,Ningbo,China,Savannah,USA,26,In Transit,475,Sporting Goods,43576.50
CONT391583,45FT High Cube,Ningbo,China,Savannah,USA,26,In Transit,360,Toys & Games,5090.40
CONT343712,45FT High Cube,Ningbo,China,Savannah,USA,26,In Transit,909,Electronics,24633.9
CONT888196,45FT High Cube,Ningbo,China,Long Beach,USA,17,Delivered,735,Unknown,41299.65
CONT642525,45FT High Cube,Ningbo,China,Long Beach,USA,17,Delivered,91,Apparel & Accessories,8758.75
CONT163531,45FT High Cube,Ningbo,China,Long Beach,USA,17,Delivered,757,Hardware,105132.16
CONT713357,45FT High Cube,Ningbo,China,Long Beach,USA,17,Delivered,228,Apparel & Accessories,22239.12
CONT622726,45FT High Cube,Ningbo,China,Long Beach,USA,17,Delivered,86,Unknown,2131.94
CONT647847,45FT High Cube,Ningbo,China,Long Beach,USA,17,Delivered,730,Apparel & Accessories,76014.90
CONT166950,45FT High Cube,Ningbo,China,Long Beach,USA,17,Delivered,98,Home & Garden,10193.96
CONT556007,40FT High Cube,Shanghai,China,Oakland,USA,26,In Transit,821,Unknown,25697.3
CONT313809,40FT High Cube,Shanghai,China,Oakland,USA,26,In Transit,110,Arts & Entertainment,7653.80
CONT267549,40FT High Cube,Shanghai,China,Oakland,USA,26,In Transit,891,Apparel & Accessories,75227.13
CONT182789,40FT High Cube,Shanghai,China,Oakland,USA,26,In Transit,63,Home & Garden,6103.44
CONT267509,40FT High Cube,Shanghai,China,Oakland,USA,26,In Transit,485,Apparel & Accessories,26476.15
CONT614816,40FT High Cube,Shanghai,China,Oakland,USA,26,In Transit,167,Hardware,10594.48
CONT387204,40FT High Cube,Shanghai,China,Oakland,USA,26,In Transit,193,Unknown,9997.4
CONT677231,45FT High Cube,Tianjin,China,Oakland,USA,18,In Transit,692,Home & Garden,4020.52
CONT585422,45FT High Cube,Tianjin,China,Oakland,USA,18,In Transit,267,Home & Garden,8439.87
CONT256774,45FT High Cube,Tianjin,China,Oakland,USA,18,In Transit,136,Home & Garden,26309.20
CONT887245,40FT High Cube,Xiamen,China,Savannah,USA,29,Ready for Pickup,72,Unknown,3772.8
CONT155874,40FT High Cube,Xiamen,China,Savannah,USA,29,Ready for Pickup,753,Apparel & Accessories,71670.54
CONT637900,40FT High Cube,Xiamen,China,Savannah,USA,29,Ready for Pickup,69,Unknown,6555
CONT779587,40FT High Cube,Xiamen,China,Savannah,USA,29,Ready for Pickup,598,Home & Garden,72704.84
CONT679089,40FT High Cube,Xiamen,China,Savannah,USA,29,Ready for Pickup,236,Unknown,30646.96
CONT443842,40FT High Cube,Xiamen,China,Savannah,USA,29,Ready for Pickup,709,Apparel & Accessories,56776.72
CONT160690,40FT High Cube,Xiamen,China,Savannah,USA,29,Ready for Pickup,481,Unknown,72549.23
CONT658700,40FT High Cube,Xiamen,China,Savannah,USA,29,Ready for Pickup,343,Apparel & Accessories,65468.41
CONT140684,45FT High Cube,Shanghai,China,Seattle,USA,21,In Transit,312,Health & Beauty,47954.4
CONT292631,45FT High Cube,Shanghai,China,Seattle,USA,21,In Transit,700,Unknown,51758.00
CONT615738,45FT High Cube,Shanghai,China,Seattle,USA,21,In Transit,573,Unknown,47094.87
CONT419366,45FT High Cube,Shanghai,China,Seattle,USA,21,In Transit,137,Unknown,12791.69
CONT745545,45FT High Cube,Shanghai,China,Seattle,USA,21,In Transit,997,Apparel & Accessories,102381.93
CONT413608,45FT High Cube,Shanghai,China,Seattle,USA,21,In Transit,945,Home & Garden,29077.65
CONT866960,45FT High Cube,Shanghai,China,Seattle,USA,21,In Transit,899,Apparel & Accessories,152227.67
CONT753174,45FT High Cube,Shanghai,China,Seattle,USA,21,In Transit,386,Health & Beauty,72317.10
CONT793413,45FT High Cube,Tianjin,China,Seattle,USA,28,Ready for Pickup,318,Apparel & Accessories,12246.18
CONT277303,45FT High Cube,Tianjin,China,Seattle,USA,28,Ready for Pickup,636,Home & Garden,122646.24
CONT307407,45FT High Cube,Tianjin,China,Seattle,USA,28,Ready for Pickup,151,Unknown,16741.37
CONT508307,45FT High Cube,Tianjin,China,Seattle,USA,28,Ready for Pickup,611,Apparel & Accessories,102959.61
CONT777463,45FT High Cube,Tianjin,China,Seattle,USA,28,Ready for Pickup,471,Hardware,62374.53
CONT514271,20FT Reefer,Shanghai,China,Los Angeles,USA,26,In Transit,728,Arts & Entertainment,124611.76
CONT881802,20FT Reefer,Shanghai,China,Los Angeles,USA,26,In Transit,428,Apparel & Accessories,56868.36
CONT922687,20FT Reefer,Shanghai,China,Los Angeles,USA,26,In Transit,714,Home & Garden,105236.46
CONT778804,20FT Reefer,Shanghai,China,Los Angeles,USA,26,In Transit,219,Hardware,27105.63
CONT574998,20FT Reefer,Shanghai,China,Los Angeles,USA,26,In Transit,850,Electronics,129089.50
CONT292189,20FT Reefer,Shanghai,China,Los Angeles,USA,26,In Transit,890,Apparel & Accessories,31274.60
CONT553795,20FT Reefer,Xiamen,China,Los Angeles,USA,23,In Transit,323,Unknown,27180.45
CONT886878,20FT Reefer,Xiamen,China,Los Angeles,USA,23,In Transit,760,Unknown,28811.60
CONT436232,20FT Reefer,Xiamen,China,Los Angeles,USA,23,In Transit,817,Apparel & Accessories,47745.48
CONT879833,20FT Reefer,Xiamen,China,Los Angeles,USA,23,In Transit,601,Apparel & Accessories,52124.73
CONT135898,20FT Reefer,Xiamen,China,Los Angeles,USA,23,In Transit,881,Unknown,134017.72
CONT775514,40FT High Cube,Tianjin,China,Los Angeles,USA,20,In Transit,392,Unknown,20070.4
CONT700080,40FT High Cube,Tianjin,China,Los Angeles,USA,20,In Transit,487,Home & Garden,20848.47
CONT188507,40FT High Cube,Tianjin,China,Los Angeles,USA,20,In Transit,619,Apparel & Accessories,71296.42
CONT910463,40FT High Cube,Tianjin,China,Los Angeles,USA,20,In Transit,54,Unknown,4449.6
CONT774975,20FT Standard,Qingdao,China,Charleston,USA,22,Arrived at Port,505,Apparel & Accessories,20432.30
CONT767941,20FT Standard,Qingdao,China,Charleston,USA,22,Arrived at Port,620,"Food, Beverages & Tobacco",84437.80
CONT776844,20FT Standard,Qingdao,China,Charleston,USA,22,Arrived at Port,778,Sporting Goods,112988.94
CONT583773,20FT Standard,Qingdao,China,Charleston,USA,22,Arrived at Port,801,Sporting Goods,136730.7
